Hour,Region,AITrainingPower_MW,GPU_Utilization_Percent,UsedRenewable_MW,RenewableCharge_MW,Curtailment_MW,IT_Load_MW,Total_Load_MW,GridPurchase_MW,GridCharge_MW,GridSell_MW,NetGridImport_MW,CarbonEmission_tCO2,SOC_MWh,ChargePower_MW,DischargePower_MW,Baseline_AI_IT_Load_MW
0,RegionA,0.0,3.07672,59.8979,55.0,425.2921,369.74,499.149,457.2511,18.0,0.0,457.2511,305.398,225.39,73.0,0.0,1.7583333333
1,RegionA,0.0,6.031746,64.2508,55.0,468.6192,396.61,535.4235,489.1727,18.0,0.0,489.1727,327.8924,293.28,73.0,0.0,3.58
2,RegionA,0.0,12.849206,65.3184,42.9892,541.6924,403.2,544.32,497.0016,18.0,0.0,497.0016,332.6432,350.0,60.9892,0.0,7.536
3,RegionA,0.0,18.849206,65.3184,0.0,657.0316,403.2,544.32,479.0016,0.0,0.0,479.0016,318.5361,350.0,0.0,0.0,10.915
4,RegionA,0.0,21.931217,65.3184,0.0,734.6816,403.2,544.32,479.0016,0.0,0.0,479.0016,315.0873,350.0,0.0,0.0,12.6466666667
5,RegionA,0.0,22.714286,65.3184,0.0,812.3316,403.2,544.32,479.0016,0.0,0.0,479.0016,310.5367,350.0,0.0,0.0,13.01
6,RegionA,0.0,18.843915,65.3184,0.0,884.6816,403.2,544.32,479.0016,0.0,0.0,479.0016,305.124,350.0,0.0,0.0,10.7173333333
7,RegionA,2.88,18.470899,65.3184,0.0,946.8116,403.2,544.32,479.0016,0.0,0.0,479.0016,299.2802,350.0,0.0,0.0,11.8893333333
8,RegionA,15.68,28.690476,65.3184,0.0,994.4916,403.2,544.32,479.0016,0.0,0.0,479.0016,293.4364,350.0,0.0,0.0,23.38
9,RegionA,15.68,25.07672,69.5448,0.0,1020.2352,403.2,544.32,474.7752,0.0,0.0,474.7752,285.4823,350.0,0.0,0.0,21.2886666667
10,RegionA,15.68,22.010582,71.781,0.0,1028.219,393.86,531.711,459.93,0.0,0.0,459.93,272.1406,350.0,0.0,0.0,19.4433333333
11,RegionA,12.992,23.365079,71.4682,0.0,1018.3118,374.89,506.1015,434.6333,0.0,0.0,434.6333,254.0432,350.0,0.0,0.0,19.032
12,RegionA,7.68,18.571429,68.097,0.0,991.713,345.54,466.479,398.382,0.0,0.0,398.382,231.1413,350.0,0.0,0.0,13.9926666667
13,RegionA,4.56,18.301587,66.0965,0.0,946.0335,328.642,443.6667,377.5702,0.0,0.0,377.5702,218.6509,350.0,0.0,0.0,12.84
14,RegionA,0.0,12.203704,63.4631,0.0,886.5369,313.398,423.0873,359.6242,0.0,0.0,359.6242,209.0855,350.0,0.0,0.0,7.1586666667
15,RegionA,0.0,11.404762,56.4725,0.0,821.1775,280.79,379.0665,322.594,0.0,0.0,322.594,189.3304,350.0,0.0,0.0,6.628
16,RegionA,8.0,24.981481,48.764,0.0,751.236,247.44,334.044,285.28,0.0,0.0,285.28,169.8557,350.0,0.0,0.0,18.2506666667
17,RegionA,6.6666666667,24.343915,44.7522,0.0,677.5978,234.75,316.9125,227.1603,0.0,0.0,227.1603,137.7046,301.087,0.0,45.0,17.3196666667
18,RegionA,6.56,25.12963,40.4249,0.0,609.5751,221.81,299.4435,214.0186,0.0,0.0,214.0186,132.4347,252.1739,0.0,45.0,17.6596666667
19,RegionA,47.36,66.269841,49.3799,0.0,538.4901,286.29,386.4915,292.1116,0.0,0.0,292.1116,184.6437,203.2609,0.0,45.0,58.8706666667
20,RegionA,47.36,64.621693,39.7062,0.0,500.4838,245.1,330.885,246.1788,0.0,0.0,246.1788,158.9084,154.3478,0.0,45.0,58.0036666667
21,RegionA,56.8,72.044974,45.1348,0.0,465.0852,278.61,376.1235,285.9887,0.0,0.0,285.9887,188.1806,105.4348,0.0,45.0,66.149
22,RegionA,56.8,72.981481,46.5604,54.4127,399.0268,287.41,388.0035,341.4431,0.0,0.0,341.4431,228.323,156.0386,54.4127,0.0,66.5626666667
23,RegionA,70.2613333333,88.195767,49.0714,55.0,406.1486,302.91,408.9285,359.8571,0.0,0.0,359.8571,243.6592,207.1886,55.0,0.0,81.1746666667
24,RegionA,46.6053333333,63.391534,57.3788,55.0,427.8112,354.19,478.1565,438.7777,18.0,0.0,438.7777,299.4658,275.0786,73.0,0.0,56.8933333333
25,RegionA,16.008,25.928571,59.4815,55.0,473.3885,367.17,495.6795,454.198,18.0,0.0,454.198,310.9439,342.9686,73.0,0.0,21.8206666667
26,RegionA,5.168,15.232804,65.3184,0.0,584.6816,403.2,544.32,486.5622,7.5606,0.0,486.5622,332.468,350.0,7.5606,0.0,10.8413333333
27,RegionA,0.0,9.857143,65.3184,0.0,657.0316,403.2,544.32,479.0016,0.0,0.0,479.0016,325.0984,350.0,0.0,0.0,5.35
28,RegionA,0.0,12.261905,65.3184,0.0,734.6816,403.2,544.32,479.0016,0.0,0.0,479.0016,321.5059,350.0,0.0,0.0,6.56
29,RegionA,16.8,29.380952,65.3184,0.0,812.3316,403.2,544.32,479.0016,0.0,0.0,479.0016,316.7159,350.0,0.0,0.0,23.8226666667
30,RegionA,40.96,51.462963,65.3184,0.0,884.6816,403.2,544.32,479.0016,0.0,0.0,479.0016,311.1594,350.0,0.0,0.0,46.8983333333
31,RegionA,51.04,61.849206,65.3184,0.0,946.8116,403.2,544.32,479.0016,0.0,0.0,479.0016,305.124,350.0,0.0,0.0,57.1696666667
32,RegionA,36.2506666667,42.89418,65.3184,0.0,994.4916,403.2,544.32,479.0016,0.0,0.0,479.0016,299.1365,350.0,0.0,0.0,39.9373333333
33,RegionA,23.248,36.949735,69.5448,0.0,1020.2352,403.2,544.32,474.7752,0.0,0.0,474.7752,290.9422,350.0,0.0,0.0,31.461
34,RegionA,23.56,41.92328,72.3077,0.0,1027.6923,396.75,535.6125,463.3048,0.0,0.0,463.3048,279.2338,350.0,0.0,0.0,34.4266666667
35,RegionA,8.16,24.632275,72.9266,0.0,1016.8534,382.54,516.429,443.5024,0.0,0.0,443.5024,263.8839,350.0,0.0,0.0,17.9113333333
36,RegionA,19.04,35.388889,67.7639,0.0,992.0461,343.85,464.1975,396.4336,0.0,0.0,396.4336,233.9751,350.0,0.0,0.0,28.866
37,RegionA,28.0,44.57672,65.4163,0.0,946.7137,325.26,439.101,373.6847,0.0,0.0,373.6847,219.9882,350.0,0.0,0.0,38.0463333333
38,RegionA,28.0,39.582011,63.3631,0.0,886.6369,312.904,422.4204,359.0573,0.0,0.0,359.0573,212.0234,350.0,0.0,0.0,35.0
39,RegionA,21.5786666667,35.462963,59.7596,0.0,817.8904,297.134,401.1309,341.3713,0.0,0.0,341.3713,203.2866,350.0,0.0,0.0,29.7793333333
40,RegionA,6.8453333333,23.814815,54.7728,0.0,745.2272,277.93,375.2055,320.4327,0.0,0.0,320.4327,193.3811,350.0,0.0,0.0,16.8766666667
41,RegionA,0.0,19.695767,46.4451,0.0,675.9049,243.63,328.9005,237.4554,0.0,0.0,237.4554,145.7501,301.087,0.0,45.0,11.5733333333
42,RegionA,0.0,24.780423,39.1491,0.0,610.8509,214.81,289.9935,205.8444,0.0,0.0,205.8444,128.8174,252.1739,0.0,45.0,14.3893333333
43,RegionA,0.0,30.716931,37.9875,0.0,549.8825,220.24,297.324,214.3365,0.0,0.0,214.3365,136.8753,203.2609,0.0,45.0,18.451
44,RegionA,17.76,38.952381,41.5611,0.0,498.6289,256.55,346.3425,259.7814,0.0,0.0,259.7814,169.2216,154.3478,0.0,45.0,30.542
45,RegionA,17.76,35.362434,39.3417,0.0,470.8783,242.85,327.8475,243.5058,0.0,0.0,243.5058,161.5174,105.4348,0.0,45.0,28.4393333333
46,RegionA,26.24,44.18254,50.0305,53.9963,395.9732,308.83,416.9205,366.89,0.0,0.0,366.89,247.1004,155.6514,53.9963,0.0,37.2476666667
47,RegionA,37.28,49.412698,53.1295,54.8509,402.2396,327.96,442.746,389.6165,0.0,0.0,389.6165,265.4067,206.6627,54.8509,0.0,44.504
48,RegionA,42.368,54.989418,56.6449,55.0,428.5451,349.66,472.041,433.3961,18.0,0.0,433.3961,297.3097,274.5527,73.0,0.0,50.0063333333
49,RegionA,33.3226666667,43.412698,63.6482,55.0,469.2218,392.89,530.4015,484.7533,18.0,0.0,484.7533,333.3164,342.4427,73.0,0.0,39.4333333333
50,RegionA,28.464,40.142857,65.3184,0.0,584.6816,403.2,544.32,487.1277,8.1261,0.0,487.1277,334.0235,350.0,8.1261,0.0,35.644
51,RegionA,27.84,38.582011,65.3184,0.0,657.0316,403.2,544.32,479.0016,0.0,0.0,479.0016,325.9606,350.0,0.0,0.0,34.231
52,RegionA,27.84,41.907407,65.3184,0.0,734.6816,403.2,544.32,479.0016,0.0,0.0,479.0016,322.0807,350.0,0.0,0.0,36.1813333333
53,RegionA,27.84,44.246032,65.3184,0.0,812.3316,403.2,544.32,479.0016,0.0,0.0,479.0016,317.0033,350.0,0.0,0.0,37.58
54,RegionA,27.84,47.719577,65.3184,0.0,884.6816,403.2,544.32,479.0016,0.0,0.0,479.0016,311.1594,350.0,0.0,0.0,39.7526666667
55,RegionA,10.2506666667,25.269841,65.3184,0.0,946.8116,403.2,544.32,479.0016,0.0,0.0,479.0016,304.8366,350.0,0.0,0.0,19.1293333333
56,RegionA,0.0,12.920635,65.3184,0.0,994.4916,403.2,544.32,479.0016,0.0,0.0,479.0016,298.5617,350.0,0.0,0.0,7.492
57,RegionA,0.0,14.238095,69.5448,0.0,1020.2352,403.2,544.32,474.7752,0.0,0.0,474.7752,290.0402,350.0,0.0,0.0,8.361
58,RegionA,0.0,15.650794,73.4832,0.0,1026.5168,403.2,544.32,470.8368,0.0,0.0,470.8368,282.6433,350.0,0.0,0.0,9.458
59,RegionA,0.0,8.910053,68.8774,0.0,1020.9026,361.3,487.755,418.8776,0.0,0.0,418.8776,247.9755,350.0,0.0,0.0,5.5273333333
60,RegionA,0.0,8.592593,68.5029,0.0,991.3071,347.6,469.26,400.7571,0.0,0.0,400.7571,235.0841,350.0,0.0,0.0,5.2766666667
61,RegionA,0.0,9.330688,69.31,0.0,942.82,344.62,465.237,395.927,0.0,0.0,395.927,231.4193,350.0,0.0,0.0,5.3703333333
62,RegionA,16.0,24.219577,66.6146,0.0,883.3854,328.961,444.0974,377.4828,0.0,0.0,377.4828,221.0917,350.0,0.0,0.0,20.72
63,RegionA,14.3306666667,25.02381,61.7835,0.0,815.8665,307.197,414.716,352.9325,0.0,0.0,352.9325,208.3008,350.0,0.0,0.0,20.7773333333
64,RegionA,0.0,11.584656,47.9859,0.0,752.0141,243.492,328.7142,280.7283,0.0,0.0,280.7283,167.7632,350.0,0.0,0.0,6.972
65,RegionA,0.0,8.560847,46.7063,0.0,675.6437,245.0,330.75,239.0437,0.0,0.0,239.0437,145.1713,301.087,0.0,45.0,5.1093333333
66,RegionA,7.1146666667,24.835979,41.4637,0.0,608.5363,227.51,307.1385,220.6748,0.0,0.0,220.6748,136.5536,252.1739,0.0,45.0,18.0146666667
67,RegionA,16.32,32.140212,33.5806,0.0,554.2894,194.69,262.8315,184.2509,0.0,0.0,184.2509,116.2623,203.2609,0.0,45.0,25.718
68,RegionA,16.32,29.597884,40.9763,0.0,499.2137,252.94,341.469,255.4927,0.0,0.0,255.4927,164.3585,154.3478,0.0,45.0,24.1533333333
69,RegionA,31.04,44.912698,40.7187,0.0,469.5013,251.35,339.3225,253.6038,0.0,0.0,253.6038,166.0344,105.4348,0.0,45.0,39.435
70,RegionA,30.0586666667,44.994709,43.1941,54.8167,401.9892,266.63,359.9505,316.7564,0.0,0.0,316.7564,210.453,156.4143,54.8167,0.0,39.1346666667
71,RegionA,20.0,36.037037,56.41,54.4572,399.3528,348.21,470.0835,413.6735,0.0,0.0,413.6735,277.8231,207.0595,54.4572,0.0,29.7713333333
72,RegionA,29.136,42.320106,55.08,55.0,430.11,340.0,459.0,421.92,18.0,0.0,421.92,285.2179,274.9495,73.0,0.0,37.1573333333
73,RegionA,19.9973333333,40.10582,63.7794,55.0,469.0906,393.7,531.495,485.7156,18.0,0.0,485.7156,328.8295,342.8395,73.0,0.0,32.178
