Hour,Region,PricePeriod,ElectricityPrice_CNY_per_MWh,SellPrice_CNY_per_MWh,CarbonIntensity_tCO2_per_MWh,AvailableRenewable_MW,NonAI_IT_Load_MW,DemandResponseLevel,DataPeriod
0,RegionA,Valley,468.0,0.0,0.6679,540.19,367.981667,Medium,Main_0_2399
1,RegionA,Valley,468.31,0.0,0.6703,587.87,393.03,Medium,Main_0_2399
2,RegionA,Valley,468.61,0.0,0.6693,650.0,395.664,Medium,Main_0_2399
3,RegionA,Valley,468.91,0.0,0.665,722.35,392.285,Medium,Main_0_2399
4,RegionA,Valley,469.22,0.0,0.6578,800.0,390.553333,Medium,Main_0_2399
5,RegionA,Valley,469.52,0.0,0.6483,877.65,390.19,Medium,Main_0_2399
6,RegionA,Valley,469.82,0.0,0.637,950.0,392.482667,Medium,Main_0_2399
7,RegionA,Flat,723.26,0.0,0.6248,1012.13,391.310667,Medium,Main_0_2399
8,RegionA,Flat,723.71,0.0,0.6126,1059.81,379.82,Medium,Main_0_2399
9,RegionA,Flat,724.16,0.0,0.6013,1089.78,381.911333,Medium,Main_0_2399
10,RegionA,Flat,724.61,0.0,0.5917,1100.0,374.416667,Medium,Main_0_2399
11,RegionA,Flat,725.04,0.0,0.5845,1089.78,355.858,Medium,Main_0_2399
12,RegionA,Flat,725.48,0.0,0.5802,1059.81,331.547333,Medium,Main_0_2399
13,RegionA,Flat,725.9,0.0,0.5791,1012.13,315.802,Low,Main_0_2399
14,RegionA,Flat,726.32,0.0,0.5814,950.0,306.239333,Low,Main_0_2399
15,RegionA,Flat,726.74,0.0,0.5869,877.65,274.162,Low,Main_0_2399
16,RegionA,Flat,727.14,0.0,0.5954,800.0,229.189333,Low,Main_0_2399
17,RegionA,Peak,1054.92,0.0,0.6062,722.35,217.430333,Medium,Main_0_2399
18,RegionA,Peak,1055.49,0.0,0.6188,650.0,204.150333,Medium,Main_0_2399
19,RegionA,Peak,1056.03,0.0,0.6321,587.87,227.419333,Medium,Main_0_2399
20,RegionA,Peak,1056.56,0.0,0.6455,540.19,187.096333,Medium,Main_0_2399
21,RegionA,Peak,1057.08,0.0,0.658,510.22,212.461,Medium,Main_0_2399
22,RegionA,Flat,656.43,0.0,0.6687,500.0,220.847333,Low,Main_0_2399
23,RegionA,Flat,656.73,0.0,0.6771,510.22,221.735333,Low,Main_0_2399
24,RegionA,Valley,474.52,0.0,0.6825,540.19,297.296667,Medium,Main_0_2399
25,RegionA,Valley,474.72,0.0,0.6846,587.87,345.349333,Medium,Main_0_2399
26,RegionA,Valley,474.91,0.0,0.6833,650.0,392.358667,Medium,Main_0_2399
27,RegionA,Valley,475.1,0.0,0.6787,722.35,397.85,Medium,Main_0_2399
28,RegionA,Valley,475.28,0.0,0.6712,800.0,396.64,Medium,Main_0_2399
29,RegionA,Valley,475.45,0.0,0.6612,877.65,379.377333,Medium,Main_0_2399
30,RegionA,Valley,475.61,0.0,0.6496,950.0,356.301667,Medium,Main_0_2399
31,RegionA,Flat,731.94,0.0,0.637,1012.13,346.030333,Medium,Main_0_2399
32,RegionA,Flat,732.16,0.0,0.6245,1059.81,363.262667,Medium,Main_0_2399
33,RegionA,Flat,732.37,0.0,0.6128,1089.78,371.739,Medium,Main_0_2399
34,RegionA,Flat,732.56,0.0,0.6027,1100.0,362.323333,Medium,Main_0_2399
35,RegionA,Flat,732.74,0.0,0.595,1089.78,364.628667,Medium,Main_0_2399
36,RegionA,Flat,732.9,0.0,0.5902,1059.81,314.984,Medium,Main_0_2399
37,RegionA,Flat,733.05,0.0,0.5887,1012.13,287.213667,Low,Main_0_2399
38,RegionA,Flat,733.18,0.0,0.5905,950.0,277.904,Low,Main_0_2399
39,RegionA,Flat,733.3,0.0,0.5955,877.65,267.354667,Low,Main_0_2399
40,RegionA,Flat,733.4,0.0,0.6035,800.0,261.053333,Low,Main_0_2399
41,RegionA,Peak,1063.56,0.0,0.6138,722.35,232.056667,Medium,Main_0_2399
42,RegionA,Peak,1063.67,0.0,0.6258,650.0,200.420667,Medium,Main_0_2399
43,RegionA,Peak,1063.75,0.0,0.6386,587.87,201.789,Medium,Main_0_2399
44,RegionA,Peak,1063.82,0.0,0.6514,540.19,226.008,Medium,Main_0_2399
45,RegionA,Peak,1063.86,0.0,0.6633,510.22,214.410667,Medium,Main_0_2399
46,RegionA,Flat,660.34,0.0,0.6735,500.0,271.582333,Low,Main_0_2399
47,RegionA,Flat,660.33,0.0,0.6812,510.22,283.456,Low,Main_0_2399
48,RegionA,Valley,476.9,0.0,0.686,540.19,299.653667,Medium,Main_0_2399
49,RegionA,Valley,476.88,0.0,0.6876,587.87,353.456667,Medium,Main_0_2399
50,RegionA,Valley,476.85,0.0,0.6857,650.0,367.556,Medium,Main_0_2399
51,RegionA,Valley,476.81,0.0,0.6805,722.35,368.969,Medium,Main_0_2399
52,RegionA,Valley,476.76,0.0,0.6724,800.0,367.018667,Medium,Main_0_2399
