scenario_id,carbon_budget_ratio,price_spread_factor,renewable_scale_factor,description
C1.00_P1.00_R1.00,1.0,1.0,1.0,Carbon budget ratio; price deviation from regional mean; renewable multiplier.
C1.00_P1.00_R0.80,1.0,1.0,0.8,Carbon budget ratio; price deviation from regional mean; renewable multiplier.
C1.00_P1.00_R1.20,1.0,1.0,1.2,Carbon budget ratio; price deviation from regional mean; renewable multiplier.
C1.00_P0.50_R1.00,1.0,0.5,1.0,Carbon budget ratio; price deviation from regional mean; renewable multiplier.
C1.00_P0.50_R0.80,1.0,0.5,0.8,Carbon budget ratio; price deviation from regional mean; renewable multiplier.
C1.00_P0.50_R1.20,1.0,0.5,1.2,Carbon budget ratio; price deviation from regional mean; renewable multiplier.
C1.00_P1.50_R1.00,1.0,1.5,1.0,Carbon budget ratio; price deviation from regional mean; renewable multiplier.
C1.00_P1.50_R0.80,1.0,1.5,0.8,Carbon budget ratio; price deviation from regional mean; renewable multiplier.
C1.00_P1.50_R1.20,1.0,1.5,1.2,Carbon budget ratio; price deviation from regional mean; renewable multiplier.
C0.90_P1.00_R1.00,0.9,1.0,1.0,Carbon budget ratio; price deviation from regional mean; renewable multiplier.
C0.90_P1.00_R0.80,0.9,1.0,0.8,Carbon budget ratio; price deviation from regional mean; renewable multiplier.
C0.90_P1.00_R1.20,0.9,1.0,1.2,Carbon budget ratio; price deviation from regional mean; renewable multiplier.
C0.90_P0.50_R1.00,0.9,0.5,1.0,Carbon budget ratio; price deviation from regional mean; renewable multiplier.
C0.90_P0.50_R0.80,0.9,0.5,0.8,Carbon budget ratio; price deviation from regional mean; renewable multiplier.
C0.90_P0.50_R1.20,0.9,0.5,1.2,Carbon budget ratio; price deviation from regional mean; renewable multiplier.
C0.90_P1.50_R1.00,0.9,1.5,1.0,Carbon budget ratio; price deviation from regional mean; renewable multiplier.
C0.90_P1.50_R0.80,0.9,1.5,0.8,Carbon budget ratio; price deviation from regional mean; renewable multiplier.
C0.90_P1.50_R1.20,0.9,1.5,1.2,Carbon budget ratio; price deviation from regional mean; renewable multiplier.
C0.80_P1.00_R1.00,0.8,1.0,1.0,Carbon budget ratio; price deviation from regional mean; renewable multiplier.
C0.80_P1.00_R0.80,0.8,1.0,0.8,Carbon budget ratio; price deviation from regional mean; renewable multiplier.
C0.80_P1.00_R1.20,0.8,1.0,1.2,Carbon budget ratio; price deviation from regional mean; renewable multiplier.
C0.80_P0.50_R1.00,0.8,0.5,1.0,Carbon budget ratio; price deviation from regional mean; renewable multiplier.
C0.80_P0.50_R0.80,0.8,0.5,0.8,Carbon budget ratio; price deviation from regional mean; renewable multiplier.
C0.80_P0.50_R1.20,0.8,0.5,1.2,Carbon budget ratio; price deviation from regional mean; renewable multiplier.
C0.80_P1.50_R1.00,0.8,1.5,1.0,Carbon budget ratio; price deviation from regional mean; renewable multiplier.
C0.80_P1.50_R0.80,0.8,1.5,0.8,Carbon budget ratio; price deviation from regional mean; renewable multiplier.
C0.80_P1.50_R1.20,0.8,1.5,1.2,Carbon budget ratio; price deviation from regional mean; renewable multiplier.
