Stage,ForecastOriginHour,Model,Hour,AggregateLevel,AggregateName,Lower95,Lower80,BootstrapMedian,Upper80,Upper95,PointForecast,ActualGPU
validation,2351,direct_mean,2352,Region,RegionA,4.0,9.0,36.0,134.0,181.0,55.01658163265306,23.0
validation,2351,direct_mean,2353,Region,RegionA,3.0,9.0,36.0,133.0,180.0,55.01658163265306,24.0
validation,2351,direct_mean,2354,Region,RegionA,3.0,8.0,36.0,135.0,182.0,55.01658163265306,12.0
validation,2351,direct_mean,2355,Region,RegionA,4.0,9.0,36.0,135.0,181.0,55.01658163265306,64.0
validation,2351,direct_mean,2356,Region,RegionA,4.0,9.0,37.0,135.0,181.02999999999884,55.01658163265306,125.0
validation,2351,direct_mean,2357,Region,RegionA,3.0,9.0,37.0,133.0,181.0,55.01658163265306,9.0
validation,2351,direct_mean,2358,Region,RegionA,4.0,9.0,36.0,133.0,181.0,55.01658163265306,24.0
validation,2351,direct_mean,2359,Region,RegionA,4.0,9.0,37.0,134.09500000000116,181.0,55.01658163265306,5.0
validation,2351,direct_mean,2360,Region,RegionA,3.0,9.0,37.0,135.0,180.0,55.01658163265306,20.0
validation,2351,direct_mean,2361,Region,RegionA,4.0,9.0,37.0,134.0,181.0,55.01658163265306,23.0
validation,2351,direct_mean,2362,Region,RegionA,3.0,9.0,36.0,132.0,181.0,55.01658163265306,8.0
validation,2351,direct_mean,2363,Region,RegionA,4.0,10.0,36.0,132.0,177.02999999999884,55.01658163265306,19.0
validation,2351,direct_mean,2364,Region,RegionA,4.0,9.0,37.0,133.0,181.0,55.01658163265306,95.0
validation,2351,direct_mean,2365,Region,RegionA,4.0,9.0,37.0,135.0,181.0,55.01658163265306,14.0
validation,2351,direct_mean,2366,Region,RegionA,3.0,8.0,36.0,135.0,181.0,55.01658163265306,27.0
validation,2351,direct_mean,2367,Region,RegionA,4.0,9.0,36.0,135.0,183.02999999999884,55.01658163265306,29.0
validation,2351,direct_mean,2368,Region,RegionA,4.0,9.0,36.0,132.0,178.0,55.01658163265306,11.0
validation,2351,direct_mean,2369,Region,RegionA,3.0,9.0,38.0,135.0,181.0,55.01658163265306,43.0
validation,2351,direct_mean,2370,Region,RegionA,4.0,9.0,37.0,135.0,183.0,55.01658163265306,94.0
validation,2351,direct_mean,2371,Region,RegionA,4.0,8.0,37.0,135.0,182.0,55.01658163265306,49.0
validation,2351,direct_mean,2372,Region,RegionA,4.0,9.0,37.0,134.0,180.0,55.01658163265306,0.0
validation,2351,direct_mean,2373,Region,RegionA,3.9699999999999704,9.0,36.0,135.0,181.0,55.01658163265306,20.0
validation,2351,direct_mean,2374,Region,RegionA,4.0,9.0,37.0,133.0,178.0,55.01658163265306,151.0
validation,2351,direct_mean,2375,Region,RegionA,4.0,9.0,37.0,135.0,181.0,55.01658163265306,133.0
validation,2351,direct_mean,2352,Region,RegionB,2.0,8.0,35.0,127.0,172.0,52.67729591836735,26.0
validation,2351,direct_mean,2353,Region,RegionB,2.0,8.0,34.0,126.0,173.0,52.67729591836735,3.0
validation,2351,direct_mean,2354,Region,RegionB,2.0,8.0,35.0,130.0,174.0,52.67729591836735,40.0
validation,2351,direct_mean,2355,Region,RegionB,2.0,8.0,34.5,131.0,174.0,52.67729591836735,41.0
validation,2351,direct_mean,2356,Region,RegionB,3.0,8.0,35.0,133.0,180.0,52.67729591836735,30.0
validation,2351,direct_mean,2357,Region,RegionB,2.0,7.0,34.0,131.0,173.0,52.67729591836735,67.0
validation,2351,direct_mean,2358,Region,RegionB,2.0,7.0,34.0,131.0,174.0,52.67729591836735,50.0
validation,2351,direct_mean,2359,Region,RegionB,3.0,7.0,36.0,129.0,174.0,52.67729591836735,61.0
validation,2351,direct_mean,2360,Region,RegionB,2.0,8.0,35.0,132.0,173.0,52.67729591836735,15.0
validation,2351,direct_mean,2361,Region,RegionB,2.0,7.904999999999973,35.0,131.0,172.02999999999884,52.67729591836735,239.0
validation,2351,direct_mean,2362,Region,RegionB,2.0,8.0,35.0,132.0,173.0,52.67729591836735,45.0
validation,2351,direct_mean,2363,Region,RegionB,2.0,7.0,35.0,127.0,173.0,52.67729591836735,99.0
validation,2351,direct_mean,2364,Region,RegionB,2.0,7.0,34.0,133.0,175.0,52.67729591836735,13.0
validation,2351,direct_mean,2365,Region,RegionB,3.0,8.0,34.0,130.0,173.0,52.67729591836735,85.0
validation,2351,direct_mean,2366,Region,RegionB,2.0,7.0,34.0,127.0,174.0,52.67729591836735,9.0
validation,2351,direct_mean,2367,Region,RegionB,2.0,7.0,34.0,130.0,173.0,52.67729591836735,54.0
validation,2351,direct_mean,2368,Region,RegionB,2.0,8.0,34.0,131.0,174.0,52.67729591836735,124.0
validation,2351,direct_mean,2369,Region,RegionB,2.0,7.0,34.0,131.0,175.0,52.67729591836735,100.0
validation,2351,direct_mean,2370,Region,RegionB,2.0,8.0,35.0,131.0,174.0,52.67729591836735,5.0
validation,2351,direct_mean,2371,Region,RegionB,2.0,8.0,34.0,129.0,174.0,52.67729591836735,14.0
validation,2351,direct_mean,2372,Region,RegionB,2.0,7.904999999999973,35.0,132.0,174.0,52.67729591836735,104.0
validation,2351,direct_mean,2373,Region,RegionB,3.0,8.0,35.0,130.0,174.0,52.67729591836735,25.0
validation,2351,direct_mean,2374,Region,RegionB,2.0,7.0,35.0,132.0,174.0,52.67729591836735,48.0
validation,2351,direct_mean,2375,Region,RegionB,2.0,7.0,34.0,131.0,174.0,52.67729591836735,181.0
validation,2351,direct_mean,2352,Region,RegionC,0.0,5.0,28.0,123.0,167.0,46.261054421768705,16.0
