Stage,Scope,SourceRegion,TaskType,n,ActualSum,ForecastSum,MAE,RMSE,WAPE,Bias,AggregateName
validation,RegionTaskType,RegionA,AITraining,24,461.0,632.9591836734694,33.2594246031746,39.2853026140194,1.731510174568743,7.1649659863945585,
validation,RegionTaskType,RegionA,BatchInference,24,381.0,450.734693877551,11.885204081632653,15.458610034035,0.7486742728587498,2.9056122448979593,
validation,RegionTaskType,RegionA,RealTimeInference,24,180.0,236.70408163265304,5.120890022675737,5.992957799257812,0.6827853363567649,2.36267006802721,
validation,RegionTaskType,RegionB,AITraining,24,864.0,622.0918367346939,42.640164399092974,60.507683732889944,1.1844490110859158,-10.079506802721086,
validation,RegionTaskType,RegionB,BatchInference,24,380.0,442.5204081632653,16.39611678004535,20.054301346459827,1.0355442176870748,2.6050170068027207,
validation,RegionTaskType,RegionB,RealTimeInference,24,234.0,199.64285714285717,5.640128968253968,7.476863998513519,0.578474765974766,-1.4315476190476188,
validation,RegionTaskType,RegionC,AITraining,24,458.0,592.0102040816327,31.41687925170068,43.50580131330988,1.646299349434097,5.583758503401362,
validation,RegionTaskType,RegionC,BatchInference,24,275.0,348.2244897959184,9.834112811791384,11.553079939418073,0.8582498453927025,3.051020408163265,
validation,RegionTaskType,RegionC,RealTimeInference,24,196.0,170.03061224489795,5.2570507369614505,6.669063254172266,0.6437204984034429,-1.082057823129251,
validation,RegionTaskType,RegionD,AITraining,24,3417.0,4088.1632653061224,64.18168934240363,81.11534920228715,0.4507932526244329,27.965136054421777,
validation,RegionTaskType,RegionD,BatchInference,24,506.0,451.51020408163265,12.765589569161,17.80630437373359,0.6054825092092173,-2.2704081632653064,
validation,RegionTaskType,RegionD,RealTimeInference,24,14.0,19.887755102040817,1.2738803854875282,2.426225943030602,2.1837949465500484,0.24532312925170066,
validation,RegionTaskType,RegionE,AITraining,24,2714.0,2909.1530612244896,92.07157029478458,106.07793843726161,0.8141922207350147,8.131377551020401,
validation,RegionTaskType,RegionE,BatchInference,24,275.0,293.98979591836735,10.58326247165533,13.06551416241098,0.923630179344465,0.7912414965986395,
validation,RegionTaskType,RegionE,RealTimeInference,24,21.0,26.28571428571429,1.4305555555555556,1.8906471075430153,1.634920634920635,0.22023809523809526,
validation,RegionTaskType,RegionF,AITraining,24,3493.0,2938.3061224489797,74.42254818594104,106.61968608772709,0.5113487421879717,-23.112244897959187,
validation,RegionTaskType,RegionF,BatchInference,24,242.0,272.40816326530614,8.975056689342404,11.50789707666133,0.8900882667116434,1.2670068027210888,
