Stage,ForecastOriginHour,Model,Hour,SourceRegion,TaskType,PointForecast,ActualGPU,Lower95,Lower80,BootstrapMedian,Upper80,Upper95
validation,2351,direct_mean,2352,RegionA,AITraining,26.37329931972789,0.0,0.0,0.0,0.0,72.0,122.0
validation,2351,direct_mean,2352,RegionA,BatchInference,18.78061224489796,9.0,0.0,0.0,16.0,36.0,51.0
validation,2351,direct_mean,2352,RegionA,RealTimeInference,9.86267006802721,14.0,0.0,3.0,9.0,16.0,23.0
validation,2351,direct_mean,2352,RegionB,AITraining,25.920493197278912,0.0,0.0,0.0,0.0,70.0,118.0
validation,2351,direct_mean,2352,RegionB,BatchInference,18.438350340136054,26.0,0.0,0.0,17.0,35.0,51.0
validation,2351,direct_mean,2352,RegionB,RealTimeInference,8.318452380952381,0.0,0.0,2.0,7.0,14.0,20.0
validation,2351,direct_mean,2352,RegionC,AITraining,24.667091836734695,0.0,0.0,0.0,0.0,71.0,120.04999999999927
validation,2351,direct_mean,2352,RegionC,BatchInference,14.509353741496598,4.0,0.0,0.0,12.0,29.0,44.0
validation,2351,direct_mean,2352,RegionC,RealTimeInference,7.084608843537415,12.0,0.0,1.0,6.0,12.0,18.0
validation,2351,direct_mean,2352,RegionD,AITraining,170.34013605442178,168.0,0.0,46.830000000000155,148.0,287.0,411.0
validation,2351,direct_mean,2352,RegionD,BatchInference,18.812925170068027,39.0,0.0,0.0,17.0,35.0,52.0
validation,2351,direct_mean,2352,RegionD,RealTimeInference,0.828656462585034,0.0,0.0,0.0,0.0,1.0,6.0
validation,2351,direct_mean,2352,RegionE,AITraining,121.21471088435374,120.0,0.0,0.0,108.0,215.17000000000007,316.0
validation,2351,direct_mean,2352,RegionE,BatchInference,12.249574829931973,0.0,0.0,0.0,9.0,25.0,41.0
validation,2351,direct_mean,2352,RegionE,RealTimeInference,1.0952380952380953,0.0,0.0,0.0,0.0,3.0,7.0
validation,2351,direct_mean,2352,RegionF,AITraining,122.42942176870748,127.0,0.0,0.0,106.0,221.0,328.0
validation,2351,direct_mean,2352,RegionF,BatchInference,11.350340136054422,0.0,0.0,0.0,8.0,23.0,38.0
validation,2351,direct_mean,2352,RegionF,RealTimeInference,0.8324829931972789,0.0,0.0,0.0,0.0,1.0,6.0
validation,2351,direct_mean,2353,RegionA,AITraining,26.37329931972789,0.0,0.0,0.0,0.0,73.0,121.0
validation,2351,direct_mean,2353,RegionA,BatchInference,18.78061224489796,22.0,0.0,0.0,16.0,36.0,51.0
validation,2351,direct_mean,2353,RegionA,RealTimeInference,9.86267006802721,2.0,0.0,3.0,9.0,16.0,23.0
validation,2351,direct_mean,2353,RegionB,AITraining,25.920493197278912,0.0,0.0,0.0,0.0,73.0,120.0
validation,2351,direct_mean,2353,RegionB,BatchInference,18.438350340136054,0.0,0.0,0.0,16.0,34.0,50.0
validation,2351,direct_mean,2353,RegionB,RealTimeInference,8.318452380952381,3.0,0.0,2.0,7.0,14.0,20.0
validation,2351,direct_mean,2353,RegionC,AITraining,24.667091836734695,44.0,0.0,0.0,0.0,73.0,120.0
validation,2351,direct_mean,2353,RegionC,BatchInference,14.509353741496598,19.0,0.0,0.0,12.0,29.0,43.0
validation,2351,direct_mean,2353,RegionC,RealTimeInference,7.084608843537415,4.0,0.0,0.0,6.0,12.0,18.0
validation,2351,direct_mean,2353,RegionD,AITraining,170.34013605442178,188.0,0.0,48.0,151.0,290.0,412.0
validation,2351,direct_mean,2353,RegionD,BatchInference,18.812925170068027,72.0,0.0,0.0,17.0,35.0,52.0
validation,2351,direct_mean,2353,RegionD,RealTimeInference,0.828656462585034,0.0,0.0,0.0,0.0,1.0,6.0
validation,2351,direct_mean,2353,RegionE,AITraining,121.21471088435374,43.0,0.0,0.0,107.5,213.0,314.0
validation,2351,direct_mean,2353,RegionE,BatchInference,12.249574829931973,0.0,0.0,0.0,9.0,23.0,40.0
validation,2351,direct_mean,2353,RegionE,RealTimeInference,1.0952380952380953,0.0,0.0,0.0,0.0,3.0,7.0
validation,2351,direct_mean,2353,RegionF,AITraining,122.42942176870748,88.0,0.0,0.0,106.0,219.0,320.0
validation,2351,direct_mean,2353,RegionF,BatchInference,11.350340136054422,50.0,0.0,0.0,7.0,23.0,38.0
validation,2351,direct_mean,2353,RegionF,RealTimeInference,0.8324829931972789,0.0,0.0,0.0,0.0,1.0,6.0
validation,2351,direct_mean,2354,RegionA,AITraining,26.37329931972789,0.0,0.0,0.0,0.0,73.0,122.0
validation,2351,direct_mean,2354,RegionA,BatchInference,18.78061224489796,4.0,0.0,0.0,16.0,36.0,52.0
validation,2351,direct_mean,2354,RegionA,RealTimeInference,9.86267006802721,8.0,0.0,3.0,9.0,16.0,23.0
validation,2351,direct_mean,2354,RegionB,AITraining,25.920493197278912,0.0,0.0,0.0,0.0,74.0,121.0
