Model,OriginHour,n,ActualSum,ForecastSum,MAE,RMSE,WAPE,Bias
direct_mean,1199,432.0,15909.0,14565.8,28.69604552469136,57.346319483086035,0.7792250717623149,-3.109259259259259
rolling_24,1199,432.0,15909.0,15394.0,28.90316358024691,57.56447003036285,0.7848492467576005,-1.1921296296296302
rolling_168,1199,432.0,15909.0,14270.857142857145,28.669973544973544,57.89134410555864,0.7785171017303771,-3.7919973544973535
rolling_336,1199,432.0,15909.0,14312.571428571428,28.51299327601411,57.49957956962312,0.7742543902971962,-3.6954365079365084
seasonal_daily,1199,432.0,15909.0,15394.0,37.30324074074074,79.92109824348289,1.012948645420831,-1.1921296296296295
seasonal_weekly,1199,432.0,15909.0,14258.0,35.52546296296296,74.76774222736552,0.9646740838519077,-3.821759259259259
direct_mean,1223,432.0,17265.0,14592.137254901962,26.397512708787215,50.21892725027888,0.6605111781173517,-6.1871822803195355
rolling_24,1223,432.0,17265.0,15909.0,26.08738425925926,48.152876926795976,0.6527512308137852,-3.138888888888889
rolling_168,1223,432.0,17265.0,14506.714285714286,26.565255731922402,50.757994425455855,0.6647083971150001,-6.3849206349206336
rolling_336,1223,432.0,17265.0,14459.857142857141,26.347387566137563,50.34835563467374,0.6592569608208183,-6.493386243386243
seasonal_daily,1223,432.0,17265.0,15909.0,34.56018518518518,70.60502421530953,0.8647552852591949,-3.138888888888889
seasonal_weekly,1223,432.0,17265.0,13956.0,30.993055555555557,63.778933158330695,0.7754995655951347,-7.659722222222222
direct_mean,1247,432.0,14834.0,14643.538461538465,26.005212042972463,47.32464930820928,0.7573312392182893,-0.4408831908831909
rolling_24,1247,432.0,14834.0,17265.0,27.942708333333332,51.059899426803696,0.8137555615477956,5.627314814814813
rolling_168,1247,432.0,14834.0,14979.428571428572,26.32600308641975,47.935152288856955,0.7666734079367219,0.33664021164021163
rolling_336,1247,432.0,14834.0,14639.571428571428,26.032930996472665,47.46462412483883,0.7581384785274499,-0.4500661375661383
seasonal_daily,1247,432.0,14834.0,17265.0,36.92824074074074,69.92027536707366,1.0754348119185655,5.627314814814815
seasonal_weekly,1247,432.0,14834.0,14407.0,34.423611111111114,69.9353702965711,1.002494269920453,-0.9884259259259259
direct_mean,1271,432.0,13433.0,14647.132075471698,25.39399895178197,47.664449063669636,0.8166610248767819,2.810490915443746
rolling_24,1271,432.0,13433.0,14834.0,26.1460262345679,48.12309600209821,0.8408459266979329,3.2430555555555567
rolling_168,1271,432.0,13433.0,15040.42857142857,25.621996252204585,47.990493321238084,0.8239933284413297,3.7208994708994707
rolling_336,1271,432.0,13433.0,14687.857142857141,25.422784391534393,47.80630549556972,0.8175867533047612,2.9047619047619055
seasonal_daily,1271,432.0,13433.0,14834.0,33.28472222222222,69.26737982201584,1.0704235837117546,3.2430555555555554
seasonal_weekly,1271,432.0,13433.0,15140.0,32.432870370370374,65.90314512249805,1.0430283629866746,3.951388888888889
direct_mean,1295,432.0,16129.0,14624.648148148148,28.297228652263374,55.43358134536294,0.7579144880511983,-3.482295953360768
rolling_24,1295,432.0,16129.0,13433.0,28.76369598765432,58.41435593385128,0.7704083741500816,-6.2407407407407405
rolling_168,1295,432.0,16129.0,14796.571428571428,28.267471340388006,55.5202169352404,0.7571174666158855,-3.084325396825397
rolling_336,1295,432.0,16129.0,14586.428571428572,28.27163249559083,55.309134781966556,0.7572289192197432,-3.5707671957671954
seasonal_daily,1295,432.0,16129.0,13433.0,37.416666666666664,77.35299678170918,1.0021700043400086,-6.2407407407407405
seasonal_weekly,1295,432.0,16129.0,13781.0,33.861111111111114,67.79059532718985,0.9069378138756278,-5.435185185185185
direct_mean,1319,432.0,13542.0,14652.000000000002,26.022555415263746,47.652524329161544,0.8301391182538723,2.5694444444444464
rolling_24,1319,432.0,13542.0,16129.0,27.8545524691358,51.4051691553978,0.8885812041549745,5.988425925925926
rolling_168,1319,432.0,13542.0,15132.0,26.4449680335097,48.43268530147243,0.8436143989422679,3.6805555555555562
rolling_336,1319,432.0,13542.0,14778.285714285714,26.12720458553792,47.750063256063335,0.8334775056086532,2.861772486772487
seasonal_daily,1319,432.0,13542.0,16129.0,35.979166666666664,74.90059770814274,1.1477625166149756,5.988425925925926
seasonal_weekly,1319,432.0,13542.0,12960.0,31.09259259259259,62.641432567224015,0.991877123024664,-1.3472222222222223
direct_mean,1343,432.0,14990.0,14632.178571428572,25.615606398809522,51.98084227515626,0.7382216120270656,-0.8282903439153444
rolling_24,1343,432.0,14990.0,13542.0,26.416473765432098,53.60178207547457,0.7613019790971759,-3.351851851851851
