Hour,Region,FacilityLoad_MW,AvailableRenewable_MW,DirectRenewable_MW,RenewableCharge_MW,GridCharge_MW,DischargePower_MW,GridLoad_MW,GridPurchase_MW,GridSell_MW,Curtailment_MW,NetGridImport_MW,SOC_MWh,ElectricityPrice_CNY_per_MWh,SellPrice_CNY_per_MWh,CarbonIntensity_tCO2_per_MWh
0,RegionA,499.14900044995505,540.19,499.14900044995505,0.0,0.0,0.0,0.0,0.0,0.0,41.040999550045,0.0,157.5,468.0,0.0,0.6679
1,RegionA,535.4235,587.87,535.4235,0.0,0.0,0.0,0.0,0.0,0.0,52.446500000000015,0.0,157.5,468.31,0.0,0.6703
2,RegionA,544.32,650.0,544.32,0.0,0.0,0.0,0.0,0.0,0.0,105.67999999999995,0.0,157.5,468.61,0.0,0.6693
3,RegionA,544.32,722.35,544.32,0.0,0.0,0.0,0.0,0.0,0.0,178.02999999999997,0.0,157.5,468.91,0.0,0.665
4,RegionA,544.319999550045,800.0,544.319999550045,0.0,0.0,0.0,0.0,0.0,0.0,255.68000044995495,0.0,157.5,469.22,0.0,0.6578
5,RegionA,544.32,877.65,544.32,0.0,0.0,0.0,0.0,0.0,0.0,333.3299999999999,0.0,157.5,469.52,0.0,0.6483
6,RegionA,544.320000449955,950.0,544.320000449955,0.0,0.0,0.0,0.0,0.0,0.0,405.67999955004495,0.0,157.5,469.82,0.0,0.637
7,RegionA,544.320000449955,1012.13,544.320000449955,0.0,0.0,0.0,0.0,0.0,0.0,467.80999955004495,0.0,157.5,723.26,0.0,0.6248
8,RegionA,544.32,1059.81,544.32,0.0,0.0,0.0,0.0,0.0,0.0,515.4899999999999,0.0,157.5,723.71,0.0,0.6126
9,RegionA,544.319999550045,1089.78,544.319999550045,0.0,0.0,0.0,0.0,0.0,0.0,545.4600004499549,0.0,157.5,724.16,0.0,0.6013
10,RegionA,531.7110004499551,1100.0,531.7110004499551,0.0,0.0,0.0,0.0,0.0,0.0,568.2889995500449,0.0,157.5,724.61,0.0,0.5917
11,RegionA,506.1015,1089.78,506.1015,0.0,0.0,0.0,0.0,0.0,0.0,583.6785,0.0,157.5,725.04,0.0,0.5845
12,RegionA,466.47899955004505,1059.81,466.47899955004505,0.0,0.0,0.0,0.0,0.0,0.0,593.3310004499549,0.0,157.5,725.48,0.0,0.5802
13,RegionA,443.66670000000005,1012.13,443.66670000000005,0.0,0.0,0.0,0.0,0.0,0.0,568.4632999999999,0.0,157.5,725.9,0.0,0.5791
14,RegionA,423.08729955004503,950.0,423.08729955004503,0.0,0.0,0.0,0.0,0.0,0.0,526.912700449955,0.0,157.5,726.32,0.0,0.5814
15,RegionA,379.06649999999996,877.65,379.06649999999996,0.0,0.0,0.0,0.0,0.0,0.0,498.5835,0.0,157.5,726.74,0.0,0.5869
16,RegionA,334.04399955004504,800.0,334.04399955004504,0.0,0.0,0.0,0.0,0.0,0.0,465.95600044995496,0.0,157.5,727.14,0.0,0.5954
17,RegionA,316.91249955004497,722.35,316.91249955004497,0.0,0.0,0.0,0.0,0.0,0.0,405.43750044995505,0.0,157.5,1054.92,0.0,0.6062
18,RegionA,299.443499550045,650.0,299.443499550045,0.0,0.0,0.0,0.0,0.0,0.0,350.556500449955,0.0,157.5,1055.49,0.0,0.6188
19,RegionA,386.49149955004503,587.87,386.49149955004503,0.0,0.0,0.0,0.0,0.0,0.0,201.37850044995497,0.0,157.5,1056.03,0.0,0.6321
20,RegionA,330.884999550045,540.19,330.884999550045,0.0,0.0,0.0,0.0,0.0,0.0,209.30500044995506,0.0,157.5,1056.56,0.0,0.6455
21,RegionA,376.12350000000004,510.22,376.12350000000004,0.0,0.0,0.0,0.0,0.0,0.0,134.0965,0.0,157.5,1057.08,0.0,0.658
22,RegionA,388.00349955004503,500.0,388.00349955004503,0.0,0.0,0.0,0.0,0.0,0.0,111.99650044995497,0.0,157.5,656.43,0.0,0.6687
23,RegionA,408.92849955004505,510.22,408.92849955004505,0.0,0.0,0.0,0.0,0.0,0.0,101.29150044995498,0.0,157.5,656.73,0.0,0.6771
24,RegionA,478.15650044995505,540.19,478.15650044995505,0.0,0.0,0.0,0.0,0.0,0.0,62.03349955004501,0.0,157.5,474.52,0.0,0.6825
25,RegionA,495.679499550045,587.87,495.679499550045,0.0,0.0,0.0,0.0,0.0,0.0,92.19050044995498,0.0,157.5,474.72,0.0,0.6846
